id;start_date;end_date;language
1;2019-10-07T16:30:21;2019-10-07T09:38:38;ENGLISH
2;2019-10-07T18:00:26;2019-10-07T03:06:36;SPANISH
3;2019-10-07T13:32:31;2019-10-07T04:56:31;SPANISH
4;2019-10-07T02:44:22;2019-10-07T10:11:24;SPANISH
5;2019-10-07T11:43:01;2019-10-07T16:27:10;FRENCH
6;2019-10-07T18:00:02;2019-10-07T19:16:58;SPANISH
7;2019-10-07T03:22:21;2019-10-07T16:03:08;FRENCH
8;2019-10-07T00:53:40;2019-10-07T08:53:49;FRENCH
9;2019-10-07T10:41:46;2019-10-07T19:06:25;SPANISH
10;2019-10-07T13:59:56;2019-10-07T11:16:11;FRENCH
